year,district,county,locale_group,highest_grade,enrollment,pupil_teacher,revenue,revenue_local,revenue_state,revenue_federal,revenue_pupil,revenue_local_pupil,revenue_state_pupil,revenue_federal_pupil,expenditure,expenditure_pupil,expenditure_instruction_pupil,expenditure_support_pupil,nces_id,SED_CODE_1,grad_rate,ard_rate
2021-22,ABBOTT UNION FREE SCHOOL DISTRICT,Westchester County,,,,,,,,,,,,,,,,,3602300,,,
2021-22,ACADEMIC LEADERSHIP CHARTER SCHOOL,Bronx County,City,8th Grade,595.9995348296313,48.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5125000.0,8599.0,4641.0,3713.0,3601001,320700860957.0,,
2021-22,ACADEMY CHARTER SCHOOL,Nassau County,Suburb,12th Grade,1852.006231316576,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43987000.0,23751.0,9297.0,12214.0,3600997,280201860934.0,,
2021-22,ACADEMY CHARTER SCHOOL-UNIONDALE,Nassau County,Suburb,10th Grade,931.0056290886962,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24478000.0,26292.0,10665.0,12827.0,3601169,280202861142.0,,
2021-22,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,Monroe County,City,7th Grade,273.99456332334285,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3931000.0,14347.0,5799.0,8547.0,3601190,261600861153.0,,
2021-22,ACADEMY OF THE CITY CHARTER SCHOOL,Queens County,City,8th Grade,716.011071039168,21.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17074000.0,23846.0,9807.0,11870.0,3601053,343000860998.0,,
2021-22,ACHIEVEMENT ACADEMY CHARTER SCHOOL,ALBANY COUNTY,,,,,,,,,,,,,,,,,3600129,,,
2021-22,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,Kings County,City,8th Grade,916.0142348754448,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14157000.0,15455.0,9781.0,5521.0,3601028,331900860933.0,,
2021-22,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,Kings County,City,9th Grade,927.9814145585958,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17975000.0,19370.0,10498.0,8502.0,3601109,331900860993.0,,
2021-22,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,Kings County,City,12th Grade,1175.0191907007347,11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21430000.0,18238.0,11328.0,5918.0,3600969,332300860912.0,,
